prefLabel (English),Translation prefLabel (Spanish),Identifier,altLabel (English),Translation altLabel (Spanish),Description/Scope Note (English),Description/Scope Note (Spanish),translationNote,historyNote (English),historyNote (Spanish),"Comments (Ernesto, postdoc)"
17-beta hydroxysteroid dehydrogenase 3 deficiency,Deficiencia de 17-beta hidroxiesteroide deshidrogenasa 3,homoit0002818,17-beta,17-beta,"People with 17-beta hydroxysteroid dehydrogenase 3 deficiency, abbreviated as ""17-beta,"" have XY chromosomes and testes, but their bodies do not have one of the enzymes needed to synthesize testosterone. Most people with 17-beta are born with a vulva and vagina, and their testes are most often undescended. Some people with 17-beta will be born with genitals that do not clearly resemble a typical penis or a typical vulva. Some will have a penis that may be smaller than typical (known as a micropenis), and the urethra may open on the underside of the penis rather than at the tip (known as hypospadias). In adolescence, people with 17-beta will often develop some secondary sex characteristics associated with a typical testosterone puberty.","Las personas con deficiencia de 17-beta hidroxiesteroide deshidrogenasa 3, abreviada como ""17-beta"", tienen cromosomas XY y testículos, pero su sus cuerpos carecen de una de las enzimas necesarias para sintetizar la testosterona. La mayoría de las personas con 17-beta nacen con vulva y vagina, y sus testículos no suelen descender. Algunas personas con 17-beta nacen con genitales que no se parecen claramente a un pene típico o a una vulva típica. Algunas tendrán un pene más pequeño de lo normal (lo que se conoce como micropene) y la uretra puede abrirse en la parte inferior del pene en lugar de en la punta (lo que se conoce como hipospadias). En la adolescencia, las personas con 17-beta a menudo desarrollarán algunas características sexuales secundarias asociadas a una pubertad típica con testosterona.",,,,"It must be ""Algunas"" in ""Algunas tendrán un pene más pequeño,"" because it is in agreement with ""personas,"" written in the previous sentence, that has feminine grammatical gender.

I also think that ""their bodies"" should be translated as ""sus cuerpos,"" not ""su organismo."" Consequentely, that part of the sentence should look like this: ""pero sus cuerpos carecen...""

I agree with changing ""desarrollarán a menudo"" to ""a menudo desarrollarán""

In the first sentence, change from ""sintetizar testosterona"" to ""sintetizar la testosterona."""
2SLGBTQ+,2SLGBTQ+,homoit0001789,LGBTQ2S+,LGBTQ2S+,"Abbreviation used to describe Two-Spirit people, lesbians, gay men, bisexual people, transgender people, queer people, and other gender and sexual minorities as a group; commonly used in Canada to emphasize the particularities of Indigenous people's experiences.","Abreviatura utilizada para describir a las personas dos espíritus, lesbiana, gay, bisexuales, transgénero, queer y otras minorías sexuales y de género como grupo; comúnmente utilizada en Canadá para situar y centrar las experiencias particulares de las personas indígenas.",,,,"Given that ""spirit"" is ""espíritu"" in Spanish, then abreviation in Spanish must be ""2ELGBTQ+,"" that is, changing from ""S"" to ""E.""

In that sense, altLabel in Spanish should be ""LGBTQ2E+""

About ""cuir,"" though I agree with adopting it, its application entails changing all the Spanish abreviation containing ""Q"" to ""C,"" for example: ""LGBTC2E+"" (let's keep talk about this point though)"
5-alpha reductase deficiency,Deficiencia de 5-alfa reductasa,homoit0000001,5-ARD,5-ARD,"People with 5-alpha reductase deficiency, abbreviated as 5-ARD, have XY chromosomes, testes, and typical levels of testosterone, but their bodies do not have the enzyme responsible for converting testosterone to the more powerful androgen dihydrotestosterone (DHT). This affects how an individual's external sex characteristics develop, and people born with 5-ARD often have genital differences that are noticed at birth. In adolescence, people with 5-ARD typically develop some features associated with testosterone puberty, and they may experience genital growth at this point.","Las personas con deficiencia de 5-alfa reductasa, abreviada como 5-ARD, tienen cromosomas XY, testículos y niveles típicos de testosterona, pero sus cuerpos no tienen la enzima responsable de convertir la testosterona en el andrógeno más potente dihidrotestosterona (DHT). Esto afecta el desarrollo de las características sexuales externas de la persona, y las personas que nacen con 5-ARD suelen presentar diferencias genitales que se notan al nacer. En la adolescencia, las personas con 5-ARD suelen desarrollar algunos rasgos asociados a la pubertad testosterona, y pueden experimentar crecimiento genital en dicho momento.",,"Scope note updated in collaboration with interACT: Advocates for Intersex Youth, 2022-2023.",,"I agree with translating ""bodies"" as ""cuerpos"" and not ""organismos,"" because the latter option can apply to any living creature (plants included). 

The original phrase ""testosterone puberty"" sounds off. Its translation, ""pubertad testosterona,"" also looks a bit hard to process. We should check the original meaning in English.

I prefer ""personas que nacen con"" over ""personas nacidas con,"" though the meaning remains the same.

I agree with ""afecta el desarrollo"".

I agree with translating ""individual"" as ""persona"" rather than ""individuo,"" because the latter Spanish term is ambiguos: sometimes is ungendered sometimes has masculine gender meaning.

I agree with the translation ""y pueden experimentar crecimiento genital en dicho momento."""
69ing,Hacer el 69,homoit0002578,"69'ing||
69-ing||
69||
Sixty-Nining","69||
Posición 69","69ing refers to an act of shared oral sex between two people simultaneously giving and receiving oral sex, one on top of the other, said to look similar to the number 69.","69ing se refiere a un acto de sexo oral compartido entre dos personas, una encima de la otra, que dan y reciben sexo oral simultáneamente. Se dice que la posición se parece al número 69.",,Added on the 69th meeting of the Homosaurus Editorial Board.,Agregado en la 69ª reunión del Consejo Editorial de Homosaurus.,"I suggest to translate preLabel EN as ""Hacer el 69"" or ""El 69"" (the non-chosen for prefLabel can work as altLabel ES). ""Posición 69"" can work too, but ""hacer"" is more similar to the English gerund form ""-ing""

In SN, last part after comma can be written as another sentence: ""Se dice que la posición..."""
Abduction play,Juego de secuestro,homoit0003138,Consensual kidnapping,"Secuestro consensuado|| 
Juego de abducción ","A type of consensual BDSM play involving the mock capture, bondage, struggle, and intimidation of one or more sexual partners.","Un juego de BDSM consensuado que implica la simulación de la captura, la esclavitud, la lucha y la intimidación de una o más parejas sexuales.",,,,"Ana hasn't proposed a Spanish prefLabel yet. I have checked some online information BDSM dictionaries in Spanish and it seems that ""Juego de abdución"" is a sound translation. 

altLabel ES can be ""Secuestro consensuado"""
Aboriginal Australian asexual people,Personas asexuales aborígenes australianas ,homoit0002892,"Aboriginal asexual people||
Asexual Aboriginal Australian people||
Asexual Aboriginal Australians","Asexuales aborígenes australianos||
Australianos asexuales aborígenes||
Asexuales aborígenes australianas||
Australianas asexuales aborígenes  ","Asexual people who belong to one or more of the various Indigenous peoples of Australia; do not use to refer to the Indigenous people of the Torres Strait Islands, who are considered ethnically and culturally distinct. Only use to describe people who identify as Aboriginal Australian.","Personas asexuales que pertenecen a uno o más de los diversos pueblos indígenas de Australia; no se utiliza para referirse a los pueblos indígenas de las Islas del Estrecho de Torres, que se consideran étnica y culturalmente distintos. Utilícese únicamente para describir a las personas que se autoidentifiquen como aborígenes australianos.",,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).","I agree with both Ana's comments: 

""; no se utiliza para referirse..."" and 

""Utilícese únicamente para describir a las personas que se identifican como aborígenes australianas""

Apply these changes to ROWS 7 thru 14.
--> In SN ES, when appeared we should translate imperative verb ""use"" to ""utilícese"" rather than ""usar"" and ""se debe usar""
--> Should we translate the the historyNote in English (1rst race/ethinicity + 2nd sexuality/gender)? Rather, I think, we should adjust the language in the historyNote in Spanish to reflect the decision of prioritizing sexuality/gender markers over race/ethnicity. It should look this:
""... identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras)"".

Please, apply this change in the coming items.

--> Add ""Asexuales aborígenes australianas"" & ""Australianas asexuales aborígenes"" as altLabels ES [FGG]"
Aboriginal Australian bisexual people,Personas bisexuales aborígenes australianas ,homoit0001976,"Aboriginal bisexual people||
Bisexual Aboriginal Australian people||
Bisexual Aboriginal Australians","Bisexuales aborígenes australianos|| 
Australianos bisexuales aborígenes||
Bisexuales aborígenes australianas|| 
Australianas bisexuales aborígenes  ","Bisexual people who belong to one or more of the various Indigenous peoples of Australia; do not use to refer to the Indigenous people of the Torres Strait Islands, who are considered ethnically and culturally distinct. Only use to describe people who identify as Aboriginal Australian.","Personas bisexuales que pertenecen a uno o más de los diversos pueblos indígenas de Australia; no para referirse a los pueblos indígenas de las Islas del Estrecho de Torres, que se consideran étnica y culturalmente distintos. Utilícese únicamente para describir a las personas que se autoidentifiquen como aborígenes australianos.",,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).","See 2 comments to SN ""Aboriginal Australian asexual people"" (ROW 7)

--> Add ""Bisexuales aborígenes australianas"" & ""Australianas bisexuales aborígenes"" as altLabels ES [FGG]"
Aboriginal Australian gay men,Hombres gay aborígenes australianos,homoit0001975,"Aboriginal gay men||
Gay Aboriginal Australian men||
Gay Aboriginal Australians","Hombres gay aborígenes australianos|| 
Australianos gay aborígenes|| 
Hombres aborígenes australianos gay","Gay men who belong to one or more of the various Indigenous peoples of Australia; do not use to refer to the Indigenous people of the Torres Strait Islands, who are considered ethnically and culturally distinct. Only use to describe people who identify as Aboriginal Australian.","Hombres gay que pertenecen a uno o más de los diversos pueblos indígenas de Australia; no para referirse a los pueblos indígenas de las Islas del Estrecho de Torres, que se consideran étnica y culturalmente distintos. Utilícese únicamente para describir a las personas que se autoidentifiquen como aborígenes australianos.",,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).","See 2 comments to SN ""Aboriginal Australian asexual people"" (ROW 7)

Following Orchid's note, altLabel ""hombres gay aborígenes"" should be written as ""hombres gay aborígenes australianos""

-> Use ""gays"" when the meaning is plural, in this case, ""hombres gays"" and ""australianos gays"". Check coming ES SN, prefLabels, and altLabels."
Aboriginal Australian intersex people,Personas intersexuales aborígenes australianas,homoit0001979,"Aboriginal intersex people||
Intersex Aboriginal Australian people||
Intersex Aboriginal Australians","Intersex aborígenes australianos|| 
Personas intersex aborígenes australianas|| 
Australianos intersex aborígenes||
Intersex aborígenes australianas|| 
Australianas intersex aborígenes  ","Intersex people who belong to one or more of the various Indigenous peoples of Australia; do not use to refer to the Indigenous people of the Torres Strait Islands, who are considered ethnically and culturally distinct. Only use to describe people who identify as Aboriginal Australian.","Personas intersexuales que pertenecen a uno o más de los diversos pueblos indígenas de Australia; no para referirse a los pueblos indígenas de las Islas del Estrecho de Torres, que se consideran étnica y culturalmente distintos. Utilícese únicamente para describir a las personas que se autoidentifiquen como aborígenes australianos.",,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).","See 2 comments to SN ""Aboriginal Australian asexual people"" (ROW 7)

I suggest to prioritize ""intersexual"" over ""intersex"" in SN, prefLabel and altLabels ES. Check this because it has consequences for lots of coming ES terms.

--> Add ""Intersex aborígenes australianas"" & ""Australianas intersex aborígenes"" as altLabels ES [FGG]"
Aboriginal Australian lesbians,Lesbianas aborígenes australianas,homoit0001974,"Aboriginal lesbians||
Lesbian aboriginal Australians","Lesbianas aborígenes australianas|| 
Aborígenes australianas lesbianas","Lesbians who belong to one or more of the various Indigenous peoples of Australia; do not use to refer to the Indigenous people of the Torres Strait Islands, who are considered ethnically and culturally distinct. Only use to describe people who identify as Aboriginal Australian.","Lesbianas que pertenecen a uno o más de los diversos pueblos indígenas de Australia; no para referirse a los pueblos indígenas de las Islas del Estrecho de Torres, que se consideran étnica y culturalmente distintos. Utilícese únicamente para describir a las personas que se autoidentifiquen como aborígenes australianos.",,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).","See 2 comments to SN ""Aboriginal Australian asexual people"" (ROW 7)

--> Change altLabels ES ""aborígenes australianos lesbianas"" to ""aborígenes australianas lesbianas"" [FGG]"
