Identifier | Translation prefLabel (Spanish) | Translation altLabel (Spanish) | Description/Scope Note (Spanish)
homoit0000159 | Dominantes bisexuales | Amos bisexuales | Personas bisexuales que forman parte de la escena BDSM y asumen el rol dominante en las relaciones sexuales con una dinámica dominante/sumisa.
homoit0000148 | Dominatrices bisexuales |   | Mujeres que desempeñan un papel dominante en las actividades del BDSM; utilícese para dominatrices que se autoidentifiquen como bisexuales.
homoit0000149 | Drama bisexual |   | Obras de ficción escritas para ser puestas en escena; utilícese en referencia a obras dramáticas que se centran en personajes o temas bisexuales.
homoit0001720 | Empleo bisexual |   | El acto de emplear a personas bisexuales.
homoit0002609 | Arte erótico bisexual |   | Arte erótico, creado por artistas bisexuales, que representa a personas bisexuales o a personas consideradas importantes dentro de la cultura bisexual.
homoit0002548 | Películas eróticas bisexuales |   | Filmes o películas eróticas, creadas por directores bisexuales, que representan a personas bisexuales o a personas consideradas importantes dentro de la cultura bisexual.
homoit0001599 | Literatura erótica bisexual |   | Obras literarias que tengan elementos eróticos o sexuales; utilícese en referencia a la literatura erótica que se centra en personajes o temas bisexuales.
homoit0000150 | Familias bisexuales |   | Familias, ya sean biológicas, adoptivas o elegidas, en las que una o más personas se autoidentican como bisexuales.
homoit0001567 | Ficción fantástica bisexual |   | Obras escritas que incluyan elementos mágicos o fantásticos; utilícese en referencia a ficción fantástica centrada en personajes o temas bisexuales.
homoit0002338 | Padres bisexuales | Papás bisexuales | Personas bisexuales que son padres.
homoit0000151 | Ficción bisexual |   | Obras escritas que describen eventos o personas imaginadas; utilícese en referencia a obras de ficción que se centran en personajes o temas bisexuales.
homoit0002447 | Películas bisexuales |   | Películas creadas por directores bisexuales, que representan a personas bisexuales o a personas consideradas importantes dentro de la cultura bisexual.
homoit0000152 | Niñas bisexuales |   | Niñas (normalmente niñas menores de 18 años) que son bisexuales.
homoit0001863 | Personas bisexuales con problemas de audición | Personas bisexuales con dificultades de audición\|\| Personas bisexuales con dificultades auditivas | Personas bisexuales con pérdida auditiva significativa o total que pueden o no considerarse S/sordas.
homoit0002263 | Historia bisexual |   | Eventos o relatos del pasado relacionados con personas bisexuales, o personas que podrían ser percibidas como bisexuales si estuvieran vivas hoy.
