URI	identifier	prefLabel	prefLabel Alternate Spellings	altLabel	description	historyNote	broader	narrower	related	issued	modified	isReplacedBy	replaces
https://homosaurus.org/terms/ableism	ableism	ableism	""	discrimination against people with disabilities	""	""	https://homosaurus.org/terms/discrimination	""	https://homosaurus.org/terms/peopleWithDisabilities	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/aboriginals	aboriginals	aboriginals	""	""	""	""	https://homosaurus.org/terms/indigenousPeoples	""	https://homosaurus.org/terms/sistergirls	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/abortion	abortion	abortion	""	""	""	""	https://homosaurus.org/terms/medicalInterventions	""	https://homosaurus.org/terms/contraception||https://homosaurus.org/terms/pregnancy	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/abuse	abuse	abuse	""	""	""	""	https://homosaurus.org/terms/violence	https://homosaurus.org/terms/sexualAbuse||https://homosaurus.org/terms/verbalAbuse	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/academicDisciplines	academicDisciplines	academic disciplines	""	""	""	""	""	https://homosaurus.org/terms/disabilityStudies||https://homosaurus.org/terms/dissertations||https://homosaurus.org/terms/ethnicStudies||https://homosaurus.org/terms/genderStudies||https://homosaurus.org/terms/gerontology||https://homosaurus.org/terms/healthSciences||https://homosaurus.org/terms/humanities||https://homosaurus.org/terms/naturalSciences||https://homosaurus.org/terms/sexology||https://homosaurus.org/terms/socialAndBehaviouralSciences	https://homosaurus.org/terms/research||https://homosaurus.org/terms/theories	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/academicEducation	academicEducation	academic education	""	""	""	""	https://homosaurus.org/terms/education	""	https://homosaurus.org/terms/universities	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/academics	academics	academics	""	""	""	""	""	https://homosaurus.org/terms/biologists||https://homosaurus.org/terms/historians||https://homosaurus.org/terms/mathematicians||https://homosaurus.org/terms/philosophers||https://homosaurus.org/terms/physicists||https://homosaurus.org/terms/psychologists||https://homosaurus.org/terms/sexologists||https://homosaurus.org/terms/sociologists||https://homosaurus.org/terms/theologians	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/acceptance	acceptance	acceptance	""	""	""	""	https://homosaurus.org/terms/attitudes	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/actionCampaigns	actionCampaigns	action campaigns	""	""	""	""	https://homosaurus.org/terms/directAction	https://homosaurus.org/terms/boycotts||https://homosaurus.org/terms/demonstrations	https://homosaurus.org/terms/actionCommittees||https://homosaurus.org/terms/activists||https://homosaurus.org/terms/advertisingCampaigns	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/actionCommittees	actionCommittees	action committees	""	action groups	""	""	""	""	https://homosaurus.org/terms/actionCampaigns||https://homosaurus.org/terms/socialMovements	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/activists	activists	activists	""	political activists	""	""	""	https://homosaurus.org/terms/AIDSActivists	https://homosaurus.org/terms/actionCampaigns||https://homosaurus.org/terms/militancy	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/actors	actors	actors	""	players||actresses	gender-neutral usage	""	https://homosaurus.org/terms/artsAndEntertainmentOccupations	https://homosaurus.org/terms/pornStars	https://homosaurus.org/terms/casting||https://homosaurus.org/terms/film||https://homosaurus.org/terms/plays||https://homosaurus.org/terms/television	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/addictions	addictions	addictions	""	""	""	""	""	https://homosaurus.org/terms/gamblingAddiction||https://homosaurus.org/terms/sexualAddiction||https://homosaurus.org/terms/smoking||https://homosaurus.org/terms/substanceAbuse	https://homosaurus.org/terms/eatingDisorders	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/adjustment	adjustment	adjustment	""	adaptive behaviour	of an individual to his/her circumstances	""	https://homosaurus.org/terms/defenceMechanisms	""	https://homosaurus.org/terms/copingBehaviour	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/administrativeAssistants	administrativeAssistants	administrative assistants	""	""	""	""	https://homosaurus.org/terms/administrativeOccupations	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/administrativeLaw	administrativeLaw	administrative law	""	""	""	""	https://homosaurus.org/terms/law	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/administrativeOccupations	administrativeOccupations	administrative occupations	""	""	""	""	https://homosaurus.org/terms/occupations	https://homosaurus.org/terms/administrativeAssistants	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/adolescence	adolescence	adolescence	""	""	""	""	https://homosaurus.org/terms/phasesOfLife	""	https://homosaurus.org/terms/youth	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/adoption	adoption	adoption	""	""	""	""	""	""	https://homosaurus.org/terms/fosterChildren||https://homosaurus.org/terms/fosterFamilies||https://homosaurus.org/terms/fosterParents||https://homosaurus.org/terms/personalAndFamilyLaw	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/adoptiveParents	adoptiveParents	adoptive parents	""	""	""	""	https://homosaurus.org/terms/parents	""	https://homosaurus.org/terms/fosterParents||https://homosaurus.org/terms/socialParenthood	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/adultEducation	adultEducation	adult education	""	""	""	""	https://homosaurus.org/terms/education	https://homosaurus.org/terms/citizenshipEducation	https://homosaurus.org/terms/socioculturalEducation	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/adulthood	adulthood	adulthood	""	""	""	""	https://homosaurus.org/terms/phasesOfLife	""	https://homosaurus.org/terms/adults	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/adultism	adultism	adultism	""	""	discrimination against young people	""	https://homosaurus.org/terms/ageDiscrimination	""	https://homosaurus.org/terms/youth	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/adults	adults	adults	""	""	""	""	https://homosaurus.org/terms/ageGroups	https://homosaurus.org/terms/middleAge||https://homosaurus.org/terms/olderPeople||https://homosaurus.org/terms/thirtysomethings||https://homosaurus.org/terms/twentysomethings	https://homosaurus.org/terms/adulthood	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/adventistm	adventistm	adventistm	""	seventh-day adventism	""	""	https://homosaurus.org/terms/protestantism	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/adventureStories	adventureStories	adventure stories	""	""	""	""	https://homosaurus.org/terms/fiction	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/advertisements	advertisements	advertisements	""	adverts||ads||commercials	""	""	https://homosaurus.org/terms/advertising	https://homosaurus.org/terms/advertisingCampaigns||https://homosaurus.org/terms/deathNotices||https://homosaurus.org/terms/personals	https://homosaurus.org/terms/advertisingCampaigns||https://homosaurus.org/terms/press	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/advertising	advertising	advertising	""	""	""	""	https://homosaurus.org/terms/massCommunication	https://homosaurus.org/terms/advertisements	https://homosaurus.org/terms/codeOfAdvertisingPractices||https://homosaurus.org/terms/e-commerce	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/advertisingCampaigns	advertisingCampaigns	advertising campaigns	""	""	""	""	https://homosaurus.org/terms/advertisements	""	https://homosaurus.org/terms/actionCampaigns||https://homosaurus.org/terms/advertisements	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/aesthetics	aesthetics	aesthetics	""	""	branch of philosophy dealing with the nature of beauty, art, and taste, and with the creation and appreciation of beauty 	""	https://homosaurus.org/terms/philosophy	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/affirmativeAction	affirmativeAction	affirmative action	""	""	preferential hiring of qualified minority candidates	""	https://homosaurus.org/terms/discrimination	""	https://homosaurus.org/terms/personnelManagement	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/africanCultures	africanCultures	african cultures	""	""	""	""	https://homosaurus.org/terms/cultures	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/africanReligions	africanReligions	african religions	""	""	""	""	https://homosaurus.org/terms/religions	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/african-americans	african-americans	african-americans	""	""	""	""	https://homosaurus.org/terms/blackPeople	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/afro-antillians	afro-antillians	afro-antillians	""	""	""	""	https://homosaurus.org/terms/afro-caribbeans	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/afro-asians	afro-asians	afro-asians	""	""	""	""	https://homosaurus.org/terms/blackPeople	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/afro-canadians	afro-canadians	afro-canadians	""	""	""	""	https://homosaurus.org/terms/blackPeople	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/afro-caribbeans	afro-caribbeans	afro-caribbeans	""	""	""	""	https://homosaurus.org/terms/blackPeople	https://homosaurus.org/terms/afro-antillians||https://homosaurus.org/terms/afro-surinamese	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/afro-latinAmericans	afro-latinAmericans	afro-latin americans	""	""	""	""	https://homosaurus.org/terms/blackPeople||https://homosaurus.org/terms/latinos	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/afro-surinamese	afro-surinamese	afro-surinamese	""	""	""	""	https://homosaurus.org/terms/afro-caribbeans	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/age	age	age	""	""	""	""	""	""	https://homosaurus.org/terms/ageDiscrimination||https://homosaurus.org/terms/ageOfConsent||https://homosaurus.org/terms/intergenerationalRelationships	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/ageDiscrimination	ageDiscrimination	age discrimination	""	""	""	""	https://homosaurus.org/terms/discrimination	https://homosaurus.org/terms/adultism||https://homosaurus.org/terms/ageism	https://homosaurus.org/terms/age||https://homosaurus.org/terms/ageGroups	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/ageGroups	ageGroups	age groups	""	""	""	""	""	https://homosaurus.org/terms/adults||https://homosaurus.org/terms/minors||https://homosaurus.org/terms/youth	https://homosaurus.org/terms/ageDiscrimination||https://homosaurus.org/terms/phasesOfLife	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/ageOfConsent	ageOfConsent	age of consent	""	""	""	""	""	""	https://homosaurus.org/terms/age||https://homosaurus.org/terms/intergenerationalRelationships||https://homosaurus.org/terms/minors||https://homosaurus.org/terms/sexualOffencesLaws	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/ageism	ageism	ageism	""	""	discrimination against older people	""	https://homosaurus.org/terms/ageDiscrimination	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/ageplay	ageplay	ageplay	""	age play	roleplaying, usually sexual, in which one adult takes on the role of a child while the other takes on that of an older authority figure	""	https://homosaurus.org/terms/roleplay	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/aggression	aggression	aggression	""	""	use only for feelings of aggression	""	""	https://homosaurus.org/terms/bullying	https://homosaurus.org/terms/violence	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/agriculturalOccupations	agriculturalOccupations	agricultural occupations	""	""	""	""	https://homosaurus.org/terms/occupations	https://homosaurus.org/terms/cowboys||https://homosaurus.org/terms/cowgirls||https://homosaurus.org/terms/farmers	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/AIDSActivists	AIDSActivists	AIDS activists	""	""	""	""	https://homosaurus.org/terms/activists	""	https://homosaurus.org/terms/AIDSOrganisations||https://homosaurus.org/terms/HIVAIDS	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/AIDSAwareness	AIDSAwareness	AIDS awareness	""	""	""	""	""	""	https://homosaurus.org/terms/redRibbons	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/AIDSEducation	AIDSEducation	AIDS education	""	""	""	""	https://homosaurus.org/terms/provisionOfInformation	""	https://homosaurus.org/terms/HIVAIDS	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/AIDSInformationCentres	AIDSInformationCentres	AIDS information centres	""	AIDS documentation centres	""	""	https://homosaurus.org/terms/informationCentres	""	https://homosaurus.org/terms/HIVAIDS	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/AIDSOrganisations	AIDSOrganisations	AIDS organisations	""	AIDS organizations	""	""	https://homosaurus.org/terms/organisations	""	https://homosaurus.org/terms/AIDSActivists||https://homosaurus.org/terms/AIDSPeriodicals||https://homosaurus.org/terms/HIVAIDS	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/AIDSPeriodicals	AIDSPeriodicals	AIDS periodicals	""	""	""	""	https://homosaurus.org/terms/press	""	https://homosaurus.org/terms/AIDSOrganisations||https://homosaurus.org/terms/HIVAIDS	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/AIDSPhobia	AIDSPhobia	AIDS phobia	""	fear of AIDS||AIDSphobia	""	""	https://homosaurus.org/terms/discrimination||https://homosaurus.org/terms/phobias	""	https://homosaurus.org/terms/HIVAIDS	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/airForce	airForce	air force	""	""	""	""	https://homosaurus.org/terms/military	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/airlinePersonnel	airlinePersonnel	airline personnel	""	""	""	""	https://homosaurus.org/terms/transportationOccupations	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/alcohol	alcohol	alcohol	""	""	""	""	https://homosaurus.org/terms/drugs	""	https://homosaurus.org/terms/alcoholism	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/alcoholism	alcoholism	alcoholism	""	""	""	""	https://homosaurus.org/terms/substanceAbuse	""	https://homosaurus.org/terms/alcohol	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/alimony	alimony	alimony	""	""	""	""	https://homosaurus.org/terms/supportLiability	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/allergies	allergies	allergies	""	""	""	""	https://homosaurus.org/terms/physicalDisorders	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/allies	allies	allies	""	""	""	""	""	""	https://homosaurus.org/terms/directAction||https://homosaurus.org/terms/gay-straightAlliances||https://homosaurus.org/terms/solidarity	2015-11-25	2015-11-25	""	""
