URI	identifier	prefLabel	prefLabel Alternate Spellings	altLabel	description	historyNote	broader	narrower	related	issued	modified	isReplacedBy	replaces
https://homosaurus.org/v2/5AlphaReductaseDeficiency	5AlphaReductaseDeficiency	5-alpha reductase deficiency	""	""	""	""	https://homosaurus.org/v2/intersexConditions	""	""	2019-05-14	2021-09-24	https://homosaurus.org/v2/5AlphaReductaseDeficiency	""
https://homosaurus.org/v2/LGBTQAboriginalPeople	LGBTQAboriginalPeople	LGBTQ Aboriginal people	""	Aboriginal people (LGBTQ)||LGBTQ Aboriginals	""	""	https://homosaurus.org/v2/LGBTQIndigenousPeople	""	https://homosaurus.org/v2/sistergirls	2019-05-14	2021-09-24	https://homosaurus.org/v2/LGBTQAboriginalPeople	""
https://homosaurus.org/v2/acault	acault	Acault	""	""	In Burmese culture, people assigned male at birth who exhibit feminine behaviors while serving as spirit mediums; there is some question over the legitimacy of term	""	https://homosaurus.org/v2/culturallySpecificGenderIdentities	""	""	2019-05-14	2021-09-24	https://homosaurus.org/v2/acault	""
https://homosaurus.org/v2/asexuality	asexuality	Asexuality	""	Ace	A sexual orientation generally characterized by a lack of sexual attraction or desire	""	https://homosaurus.org/v2/sexualOrientation	""	https://homosaurus.org/v2/aromanticPeople||https://homosaurus.org/v2/asexualPeople||https://homosaurus.org/v2/demisexuality||https://homosaurus.org/v2/LGBTQ+||https://homosaurus.org/v2/LGBTQIA||https://homosaurus.org/v2/sexualAbstinence||https://homosaurus.org/v2/virginity||https://homosaurus.org/v2/compulsorySexuality	2019-05-14	2021-09-24	https://homosaurus.org/v2/asexuality	""
https://homosaurus.org/v2/HIVAIDS	HIVAIDS	HIV/AIDS	""	Acquired immune deficiency syndrome||AIDS||Gay related immune-deficiency||GRIDS||Gay related immuno-deficiency	""	""	https://homosaurus.org/v2/STDs	https://homosaurus.org/v2/ARC	https://homosaurus.org/v2/AIDSActivists||https://homosaurus.org/v2/AIDSAwareness||https://homosaurus.org/v2/AIDSEducation||https://homosaurus.org/v2/AIDSInformationCentres||https://homosaurus.org/v2/AIDSMemorialQuilts||https://homosaurus.org/v2/AIDSMemorials||https://homosaurus.org/v2/AIDSOrganisations||https://homosaurus.org/v2/AIDSPeriodicals||https://homosaurus.org/v2/AIDSPhobia||https://homosaurus.org/v2/buddyCareForLGBTQPeople||https://homosaurus.org/v2/HIV-negativePeople||https://homosaurus.org/v2/HIV-positivePeople||https://homosaurus.org/v2/HIVTests||https://homosaurus.org/v2/HIVUndetectablePeople||https://homosaurus.org/v2/kaposisSarcoma||https://homosaurus.org/v2/passiveImmuneTherapy||https://homosaurus.org/v2/prep||https://homosaurus.org/v2/redRibbons||https://homosaurus.org/v2/seroconversion||https://homosaurus.org/v2/serodiscordantCouples||https://homosaurus.org/v2/serostatus	2019-05-14	2021-09-24	https://homosaurus.org/v2/HIVAIDS	""
https://homosaurus.org/v2/activismLGBTQ	activismLGBTQ	Activism (LGBTQ)	""	""	""	""	""	https://homosaurus.org/v2/bisexualActivism||https://homosaurus.org/v2/gayActivism||https://homosaurus.org/v2/lesbianActivism||https://homosaurus.org/v2/LGBTQDirectAction||https://homosaurus.org/v2/queerActivism||https://homosaurus.org/v2/transgenderActivism	https://homosaurus.org/v2/activistsLGBTQ||https://homosaurus.org/v2/allies||https://homosaurus.org/v2/gayShame	2019-05-14	2021-09-24	https://homosaurus.org/v2/activismLGBTQ	""
https://homosaurus.org/v2/activistsLGBTQ	activistsLGBTQ	Activists (LGBTQ)	""	Political activists (LGBTQ)	""	""	https://homosaurus.org/v2/LGBTQPeople	https://homosaurus.org/v2/AIDSActivists||https://homosaurus.org/v2/bisexualPoliticalActivists||https://homosaurus.org/v2/gayPoliticalActivists||https://homosaurus.org/v2/lesbianPoliticalActivists||https://homosaurus.org/v2/queerPoliticalActivists||https://homosaurus.org/v2/transgenderPoliticalActivists	https://homosaurus.org/v2/activismLGBTQ	2019-05-14	2021-09-24	https://homosaurus.org/v2/activistsLGBTQ	""
https://homosaurus.org/v2/LGBTQActors	LGBTQActors	LGBTQ actors	""	Actors (LGBTQ)||Actresses (LGBTQ)	""	""	https://homosaurus.org/v2/LGBTQPeople	https://homosaurus.org/v2/pornStars	https://homosaurus.org/v2/LGBTQArts	2019-05-14	2021-09-24	https://homosaurus.org/v2/LGBTQActors	""
https://homosaurus.org/v2/adoptiveParenthood	adoptiveParenthood	Adoptive parenthood	""	""	""	""	https://homosaurus.org/v2/LGBTQParenthood	""	https://homosaurus.org/v2/LGBTQAdoption||https://homosaurus.org/v2/socialParenthood	2019-05-14	2021-09-24	https://homosaurus.org/v2/adoptiveParenthood	""
https://homosaurus.org/v2/adoptiveParents	adoptiveParents	Adoptive parents	""	""	""	""	https://homosaurus.org/v2/parentsLGBTQ	""	https://homosaurus.org/v2/birthParents||https://homosaurus.org/v2/LGBTQAdoption||https://homosaurus.org/v2/LGBTQAdoptiveParents||https://homosaurus.org/v2/socialParenthood	2019-05-14	2021-09-24	https://homosaurus.org/v2/adoptiveParents	""
https://homosaurus.org/v2/sexIndustry	sexIndustry	Sex industry	""	Adult entertainment industry	""	""	""	https://homosaurus.org/v2/brothels||https://homosaurus.org/v2/pornIndustry||https://homosaurus.org/v2/sexCinemas||https://homosaurus.org/v2/sexClubs||https://homosaurus.org/v2/sexShops||https://homosaurus.org/v2/sexTourism	https://homosaurus.org/v2/gaySaunas||https://homosaurus.org/v2/peepShows||https://homosaurus.org/v2/phoneSex||https://homosaurus.org/v2/sexuality||https://homosaurus.org/v2/sexWork||https://homosaurus.org/v2/sexWorkersLGBTQ	2019-05-14	2021-09-24	https://homosaurus.org/v2/sexIndustry	""
https://homosaurus.org/v2/sexShops	sexShops	Sex shops	""	Adult entertainment stores	""	""	https://homosaurus.org/v2/sexIndustry	""	https://homosaurus.org/v2/sexAccessories	2019-05-14	2021-09-24	https://homosaurus.org/v2/sexShops	""
https://homosaurus.org/v2/pornFilmsLGBTQ	pornFilmsLGBTQ	Porn films (LGBTQ)	""	Adult films (LGBTQ)||Porn videos (LGBTQ)||X-rated films (LGBTQ)	""	""	""	https://homosaurus.org/v2/bisexualPornFilms||https://homosaurus.org/v2/gayPornFilms||https://homosaurus.org/v2/lesbianPornFilms||https://homosaurus.org/v2/queerPornFilms||https://homosaurus.org/v2/transgenderPornFilms	https://homosaurus.org/v2/LGBTQFilms||https://homosaurus.org/v2/pornIndustry||https://homosaurus.org/v2/pornography||https://homosaurus.org/v2/pornStars||https://homosaurus.org/v2/sexCinemas	2019-05-14	2021-09-24	https://homosaurus.org/v2/pornFilmsLGBTQ	""
https://homosaurus.org/v2/sexCinemas	sexCinemas	Sex cinemas	""	Adult movie theatres	""	""	https://homosaurus.org/v2/sexIndustry	""	https://homosaurus.org/v2/pornFilmsLGBTQ	2019-05-14	2021-09-24	https://homosaurus.org/v2/sexCinemas	""
https://homosaurus.org/v2/africanAmericansLGBTQ	africanAmericansLGBTQ	African-Americans (LGBTQ)	""	""	""	""	https://homosaurus.org/v2/blackPeopleLGBTQ	https://homosaurus.org/v2/bisexualAfricanAmericans||https://homosaurus.org/v2/downLow||https://homosaurus.org/v2/gayAfricanAmericans||https://homosaurus.org/v2/lesbianAfricanAmericans||https://homosaurus.org/v2/queerAfricanAmericans||https://homosaurus.org/v2/transgenderAfricanAmericans	https://homosaurus.org/v2/banjees||https://homosaurus.org/v2/sameGenderLoving	2019-05-14	2021-09-24	https://homosaurus.org/v2/africanAmericansLGBTQ	""
https://homosaurus.org/v2/afroCanadiansLGBTQ	afroCanadiansLGBTQ	Afro-Canadians (LGBTQ)	""	""	""	""	https://homosaurus.org/v2/blackPeopleLGBTQ	https://homosaurus.org/v2/bisexualAfroCanadians||https://homosaurus.org/v2/gayAfroCanadians||https://homosaurus.org/v2/lesbianAfroCanadians||https://homosaurus.org/v2/queerAfroCanadians||https://homosaurus.org/v2/transgenderAfroCanadians	""	2019-05-14	2021-09-24	https://homosaurus.org/v2/afroCanadiansLGBTQ	""
https://homosaurus.org/v2/afroCaribbeansLGBTQ	afroCaribbeansLGBTQ	Afro-Caribbeans (LGBTQ)	""	""	""	""	https://homosaurus.org/v2/blackPeopleLGBTQ	https://homosaurus.org/v2/bisexualAfroCaribbeans||https://homosaurus.org/v2/gayAfroCaribbeans||https://homosaurus.org/v2/lesbianAfroCaribbeans||https://homosaurus.org/v2/queerAfroCaribbeans||https://homosaurus.org/v2/transgenderAfroCaribbeans	""	2019-05-14	2021-09-24	https://homosaurus.org/v2/afroCaribbeansLGBTQ	""
https://homosaurus.org/v2/afroEuropeansLGBTQ	afroEuropeansLGBTQ	Afro-Europeans (LGBTQ)	""	""	""	""	https://homosaurus.org/v2/blackPeopleLGBTQ	https://homosaurus.org/v2/bisexualAfroEuropeans||https://homosaurus.org/v2/gayAfroEuropeans||https://homosaurus.org/v2/lesbianAfroEuropeans||https://homosaurus.org/v2/queerAfroEuropeans||https://homosaurus.org/v2/transgenderAfroEuropeans	""	2019-05-14	2021-09-24	https://homosaurus.org/v2/afroEuropeansLGBTQ	""
https://homosaurus.org/v2/afroLatinAmericansLGBTQ	afroLatinAmericansLGBTQ	Afro-Latin Americans (LGBTQ)	""	""	""	""	https://homosaurus.org/v2/blackPeopleLGBTQ||https://homosaurus.org/v2/latinxLGBTQ	https://homosaurus.org/v2/bisexualAfroLatinAmericans||https://homosaurus.org/v2/gayAfroLatinAmericans||https://homosaurus.org/v2/lesbianAfroLatinAmericans||https://homosaurus.org/v2/queerAfroLatinAmericans||https://homosaurus.org/v2/transgenderAfroLatinAmericans	""	2019-05-14	2021-09-24	https://homosaurus.org/v2/afroLatinAmericansLGBTQ	""
https://homosaurus.org/v2/ageOfConsent	ageOfConsent	Age of consent	""	""	""	""	https://homosaurus.org/v2/childrensSexuality	""	https://homosaurus.org/v2/consent||https://homosaurus.org/v2/intergenerationalRelationships||https://homosaurus.org/v2/sexualOffencesLaws	2019-05-14	2021-09-24	https://homosaurus.org/v2/ageOfConsent	""
https://homosaurus.org/v2/agenderPeople	agenderPeople	Agender people	""	""	People without gender	""	https://homosaurus.org/v2/transgenderPeople	""	https://homosaurus.org/v2/genderIdentity||https://homosaurus.org/v2/nonBinaryPeople	2019-05-14	2021-09-24	https://homosaurus.org/v2/agenderPeople	""
