identifier	prefLabel	altLabel	description	historyNote
homoit0002818	Testosteron-17β-Dehydrogenase-Mangel	17-Keto-Reduktase-Mangel||17-Ketosteroid-Reduktase-Mangel||17-beta-Hydroxysteroid-Dehydrogenase 3-Mangel||Pseudohermaphroditismus, männlicher, durch 17-beta-Hydroxysteroid-Dehydrogenase 3-Mangel||17-Beta	Menschen mit 17-Beta-Hydroxysteroid-Dehydrogenase-3-Mangel, hier abgekürzt „17-Beta“, haben XY-Chromosomen und Hoden, aber ihr Körper verfügt nicht über eines der Enzyme, die für die Synthese von Testosteron erforderlich sind. Die meisten Menschen mit 17-Beta werden mit einer Vulva und einer Vagina geboren, und ihre Hoden sind meist nicht herabgestiegen. Einige Menschen mit 17-Beta werden mit Genitalien geboren, die weder einem typischen Penis noch einer typischen Vulva ähneln. Manche haben einen Penis, der kleiner als typisch ist (Mikropenis), und die Harnröhre öffnet sich möglicherweise an der Unterseite des Penis und nicht an der Spitze (Hypospadie). In der Pubertät entwickeln Menschen mit 17-Beta häufig einige sekundäre Geschlechtsmerkmale, die mit einer typischen Testosteron-Pubertät einhergehen.	
homoit0001789	2SLGBTQ+	LGBTQ2S+	Abkürzung zur Bezeichnung von Two-Spirit-Personen, Lesben, Schwulen, Bisexuellen, Transgender-Personen, Queers und anderen geschlechtlichen und sexuellen Minderheiten als Gruppe; wird in Kanada häufig verwendet, um die Besonderheiten der Erfahrungen indigener Völker zu betonen.	
homoit0000001	5α-Reduktase-2-Mangel	5-Alpha-Reduktase-Mangel||5ARD	Menschen mit 5-Alpha-Reduktase-Mangel, abgekürzt 5-ARD, haben XY-Chromosomen, Hoden und nach medizinischer Zuschreibung typische Testosteronwerte, aber ihr Körper produziert nicht das Enzym, das für die Umwandlung von Testosteron in das stärkere Androgen Dihydrotestosteron (DHT) verantwortlich ist. Dies wirkt sich auf die Entwicklung der äußeren Geschlechtsmerkmale einer Person aus. Menschen, die mit 5-ARD geboren werden, werden oft schon bei der Geburt Unterschiede zu medizinischen Normvorstellungen von Genitalien zugeschrieben. In der Adoleszenz entwickeln Menschen mit 5-ARD typischerweise einige Merkmale, die mit einer Testosteronpubertät in Verbindung gebracht werden, und es kann sein, dass sie zu diesem Zeitpunkt ein Genitalwachstum erleben.	
homoit0002578	69ern	69||Neunundsechzig||Soixante-neuf||69nen	69ern bezieht sich auf den gemeinsamen Oralsex zwischen zwei Personen, die gleichzeitig Oralsex geben und empfangen, und soll der Zahl 69 ähneln.	
homoit0003138	Abduction play	Entführungsspiel||Einvernehmliche Entführung||Einvernehmliches Kidnapping	Eine Art von einvernehmlichem BDSM-Spiel, bei dem ein oder mehrere Sexualpartner zum Schein gefangen genommen, gefesselt, bekämpft und eingeschüchtert werden.	
homoit0002892	Australisch-aboriginale asexuelle Personen	Aboriginal asexuelle Personen||Asexuelle Aboriginal Australische Personen||Asexuelle Aboriginal Australier:innen	Asexuelle Personen, die einem oder mehreren der verschiedenen indigenen Völker Australiens angehören; nicht für die indigene Bevölkerung der Torres-Strait-Inseln verwenden, die als ethnisch und kulturell verschieden betrachtet wird. Nur zur Beschreibung von Personen verwenden, die sich als australische Ureinwohner identifizieren.	
homoit0001976	Australisch-aboriginale bisexuelle Personen	Aboriginal bisexuelle Personen||Bisexuelle Aboriginal Australische Personen||Bisexuelle Aboriginal Australier:innen	Bisexuelle Personen, die einem oder mehreren der verschiedenen indigenen Völker Australiens angehören; nicht für die indigene Bevölkerung der Torres-Strait-Inseln verwenden, die als ethnisch und kulturell verschieden betrachtet wird. Nur zur Beschreibung von Personen verwenden, die sich als australische Ureinwohner identifizieren.	
homoit0001975	Australisch-aboriginale schwule Männer	Aboriginal schwule Männer||Schwule Aboriginal Australische Männer||Schwule Aboriginal Australier	Schwule Männer, die einem oder mehreren der verschiedenen indigenen Völker Australiens angehören; nicht für die indigene Bevölkerung der Torres-Strait-Inseln verwenden, die als ethnisch und kulturell verschieden betrachtet wird. Nur zur Beschreibung von Personen verwenden, die sich als australische Ureinwohner identifizieren.	
homoit0001979	Australisch-aboriginale inter* Personen	Aboriginal intersexuelle* Personen||Intersexuelle* Aboriginal australische Personen||Intersexuelle Aboriginal Australier:innen	Inter* Personen, die einem oder mehreren der verschiedenen indigenen Völker Australiens angehören; nicht für die indigene Bevölkerung der Torres-Strait-Inseln verwenden, die als ethnisch und kulturell verschieden betrachtet wird. Nur zur Beschreibung von Personen verwenden, die sich als australische Ureinwohner identifizieren.	
homoit0001974	Australisch-aboriginale Lesben	Aboriginal Lesben||Lesbische Aboriginal Australier:innen	Lesben, die einem oder mehreren der verschiedenen indigenen Völker Australiens angehören; nicht für die indigene Bevölkerung der Torres-Strait-Inseln verwenden, die als ethnisch und kulturell verschieden betrachtet wird. Nur zur Beschreibung von Personen verwenden, die sich als australische Ureinwohner identifizieren.	
