identifier	prefLabel	altLabel	description	historyNote
homoit0003393	Personas no binarias aborígenes australianas	No binarixs aborígenes australianxs||Australianxs aborígenes no binarixs||Personas aborígenes australianas no binarias	Personas no binarias que pertenecen a uno o más de los diversos pueblos indígenas de Australia; no para referirse a los pueblos indígenas de las Islas del Estrecho de Torres, que se consideran étnica y culturalmente distintos. Utilícese únicamente para describir a las personas que se autoidentifican como aborígenes australianas.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).
homoit0003365	Aborto	Término del embarazo	La terminación de un embarazo.	
homoit0003366	Acceso al aborto para personas LGBTQ+	Aborto accesible para personas LGBTQ+	Término utilizado para describir los diversos aspectos que determinan si los abortos son accesibles para las personas LGBTQ+ en un lugar determinado. Los factores que determinan la accesibilidad incluyen la legalidad, la seguridad, la privacidad, el coste financiero, la libertad de viajar, etc.	
homoit0003558	Personas no binarias afroamericanas	Afroamericanxs||Personas no binarias afroamericanas||Personas afroamericanas no binarias||Afroamericanxs no binarixs	Personas no binarias de ascendencia africana nacidas en los Estados Unidos o personas no binarias nacidas en países africanos que viven o tienen una conexión fuerte con los Estados Unidos. Utilícese para personas que se autoidentifiquen como afroamericanas.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).
homoit0003499	Leyes anti-transgénero	Leyes anti-trans||Leyes anti trans||Leyes antitrans||Leyes anti-transgénero||Leyes anti transgénero||Leyes antitransgénero	Esfuerzos para proponer, promulgar, modificar o derogar leyes como medio para restringir los derechos legales de las personas transgénero. Esto incluye la legislación sobre el acceso a servicios de salud que afirmen el género, la participación en eventos deportivos, los procedimientos administrativos y judiciales como el registro de sexo y nombre, y las políticas que afectan el tratamiento médico, la educación y la atención de salud mental de lxs jóvenes transgénero.	
homoit0003391	Personas arrománticas árabes estadounidenses	Personas árabes estadounidenses arrománticas||Árabes estadounidenses arrománticos||Árabes estadounidenses arrománticas||Árabes estadounidenses arrománticxs	Personas arrománticas que descienden de pueblos árabes y nacieron en los Estados Unidos, o personas arrománticas nacidas en países árabes que viven o tienen una fuerte conexión con los Estados Unidos. No se debe confundir con personas musulmanas.	
homoit0003389	Personas asexuales árabes estadounidenses	Personas árabes estadounidenses asexuales||Árabes estadounidenses asexuales	Personas asexuales que descienden de pueblos árabes y nacieron en los Estados Unidos, o personas asexuales nacidas en países árabes que viven o tienen una fuerte conexión con los Estados Unidos. No se debe confundir con personas musulmanas.	
homoit0003385	Personas bisexuales árabes estadounidenses	Personas árabes estadounidenses bisexuales||Árabes estadounidenses bisexuales	Personas bisexuales que descienden de pueblos árabes y nacieron en los Estados Unidos, o personas bisexuales nacidas en países árabes que viven o tienen una fuerte conexión con los Estados Unidos. No se debe confundir con personas musulmanas.	
homoit0003384	Hombres gay árabes estadounidenses	Hombres árabes estadounidenses gay	Hombres gay que descienden de pueblos árabes y nacieron en los Estados Unidos, u hombres gay nacidos en países árabes que viven o tienen una fuerte conexión con los Estados Unidos. No se debe confundir con musulmanes.	
homoit0003390	Personas intersexuales árabes estadounidenses	Personas intersex árabes estadounidenses||Personas árabes estadounidenses intersexuales||Personas árabes estadounidenses intersex||Árabes estadounidenses intersexuales||Árabes estadounidenses intersex	Personas intersexuales que descienden de pueblos árabes y nacieron en los Estados Unidos, o personas intersexuales nacidas en países árabes que viven o tienen una fuerte conexión con los Estados Unidos. No se debe confundir con personas musulmanas.	
homoit0003383	Lesbianas árabes estadounidenses	Árabes estadounidenses lesbianas	Lesbianas que descienden de pueblos árabes y nacieron en los Estados Unidos, o lesbianas nacidas en países árabes que viven o tienen una fuerte conexión con los Estados Unidos. No se debe confundir con musulmanas.	
