identifier	prefLabel	altLabel	description	historyNote
homoit0001979	Personas intersexuales aborígenes australianas	Intersex aborígenes australianos||Personas intersex aborígenes australianas||Australianos intersex aborígenes||Intersex aborígenes australianas||Australianas intersex aborígenes||Personas intersex aborígenes australianas	Personas intersexuales que pertenecen a uno o más de los diversos pueblos indígenas de Australia; no para referirse a los pueblos indígenas de las Islas del Estrecho de Torres, que se consideran étnica y culturalmente distintos. Utilícese únicamente para describir a las personas que se autoidentifiquen como aborígenes australianos.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).
homoit0000003	Acault		Un término birmano, comúnmente mal traducido, para personas asignadas al sexo masculino al nacer que exhiben comportamientos femeninos mientras sirven como médiums espirituales; existen dudas sobre la legitimidad del término.	Aunque a los términos que no son del español se les suelen asignar etiquetas lingüísticas que indican la lengua de la que proceden, al término "Acault" se le ha asignado la etiqueta de español porque es una versión mal traducida de un término birmano.
homoit0000015	Personas LGBTQ+ afroamericanas	Afroamericanos (LGBTQ)||Afroamericanas (LGBTQ)||Personas afroamericanas LGBTQ+||Afroamericanos LGBTQ+||Afroamericanas LGBTQ+||Personas LGBTQ+ afroamericanas	Personas LGBTQ+ de ascendencia africana nacidas en los Estados Unidos o personas LGBTQ+ nacidas en países africanos que viven o tienen una conexión fuerte con los Estados Unidos. Utilícese para personas que se autoidentifiquen como afroamericanas.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).
homoit0002893	Personas asexuales afrocanadienses	Afrocanadienses asexuales||Afrocanadienses ace||Personas ace afrocanadienses||Personas afrocanadienses asexuales	Personas asexuales de ascendencia africana nacidas en Canadá o personas asexuales nacidas en países africanos que viven en Canadá o tienen una conexión fuerte con Canadá. Utilícese para personas que se autoidentifiquen como afrocanadienses.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).
homoit0000016	Personas LGBTQ+ afrocanadienses	Afrocanadienses LGBTQ+||Personas afrocanadienses LGBTQ+||Afrocanadienses (LGBTQ)||Afrocanadienses LGBTQ+||Personas LGBTQ+ afrocanadiensxs	Personas LGBTQ+ de ascendencia africana nacidas en Canadá o personas LGBTQ+ nacidas en países africanos que viven o tienen una conexión fuerte con Canadá. Utilícese para personas que se identifiquen como afrocanadienses.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).
homoit0000017	Personas LGBTQ+ afrocaribeñas	Afrocaribeños LGBTQ+||Personas afrocaribeñas LGBTQ+||Afrocaribeños (LGBTQ)||Afrocaribeñas LGBTQ+||Afrocaribeñas (LGBTQ)||Personas LGBTQ+ afrocaribeñxs	Personas LGBTQ+ afrodescendientes nacidas en el Caribe o personas LGBTQ+ nacidas en países africanos que viven o tienen una conexión fuerte con el Caribe. Utilícese únicamente para personas que se identifiquen como afrocaribeñas.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).
homoit0000018	Personas LGBTQ+ afroeuropeas	Afroeuropeos LGBTQ+||Personas afroeuropeas LGBTQ+||Afroeuropeos (LGBTQ)||Afroeuropeas LGBTQ+||Afroeuropeas (LGBTQ)||Personas LGBTQ+ afroeuropexs	Personas LGBTQ+ de ascendencia africana nacidas en países europeos o personas LGBTQ+ nacidas en países africanos que viven en Europa o tienen una fuerte conexión con Europa. Utilícese únicamente para personas que se identifiquen como afroeuropeas.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).
homoit0000019	Personas LGBTQ+ afrolatinoamericanas	Afrolatinoamericanos LGBTQ+||Personas afrolatinoamericanas LGBTQ+||Afrolatinoamericanos (LGBTQ)||Afrolatinoamericanas LGBTQ+||Afrolatinoamericanas (LGBTQ)||Personas LGBTQ+ afrolatinoamericanxs	Personas LGBTQ+ afrodescendientes nacidas en países latinoamericanos o personas LGBTQ+ nacidas en países africanos que viven o tienen una conexión fuerte con América Latina. Utilícese únicamente para personas que se identifiquen como afrolatinoamericanas.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).
homoit0000028	Colchas conmemorativas del SIDA	AIDS quilts	Colchas creadas para celebrar las vidas de las personas que han muerto por causas relacionadas con el SIDA, generar conciencia sobre la epidemia del SIDA y brindar apoyo y sanación a las personas afectadas. El término se utiliza a menudo para referirse a la colcha conmemorativa del SIDA del proyecto NAMES iniciada por Cleve Jones en 1985.	
homoit0000029	Memoriales sobre el SIDA	Conmemoraciones del SIDA	Proyectos y eventos que celebran las vidas de personas que han muerto por causas relacionadas al SIDA.	
