identifier	prefLabel	altLabel	description	historyNote
homoit0002003	Personnes queers survivantes d'intimidation		Personnes queers qui ont subi et survécu à de l'intimidation parce qu'elles sont queers.	
homoit0002002	Personnes trans survivantes d'intimidation	Personnes transgenres survivantes d'intimidation	Personnes trans qui ont subi et survécu à de l'intimidation parce qu'elles sont trans; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0002006	Personnes bispirituelles survivantes d'intimidation		Personnes bispirituelles qui ont subi et survécu à de l'intimidation parce qu'elles sont bispirituelles; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000783	Lesbiennes survivantes de viol			Personnes lesbiennes qui ont été victimes de viol et qui ont survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.
homoit0001789	LGBTQ2+	Bispirituel, Lesbienne, Gay, Bisexuel, Transgenre, Queer et plus||2S, Lesbienne, Gay, Bi, Trans, Queer et plus||Bispirituel, Lesbienne, Gay, Bisexuel, Transgenre, Queer, Asexuel, Demisexuel, Asexué-gris, Pansexuel, Intersexe et plus||2S, Lesbienne, Gay, Bi, Trans, Queer, Ace, Demisexuel, Asexué-gris, Pan, Intersexe et plus	Acronyme qui désigne les personnes lesbiennes, gaies, bisexuelles, trans, queers ou en questionnement, bispirituelles et d'autres orientations sexuelles et identités de genre. Couramment utilisé au Canada pour souligner les particularités des expériences des peuples autochtones.	
homoit0000021	Personnes agenres		Personnes qui ne ressentent pas d'identité de genre ou qui refusent totalement ou partiellement l'apposition d'une identité de genre.	
homoit0001823	Personnes alloromantiques	Alloromantiques	Personnes qui éprouvent une attirance ou un désir romantique de manière fréquente et constante, souvent en même temps qu'une attirance sexuelle.	
homoit0001791	Alloromantisme		Orientation romantique caractérisée par une attirance ou un désir romantique régulier et constant, généralement associés à une attirance sexuelle.	
homoit0001531	Allosexualité	Altersexualité	Orientation sexuelle caractérisée par une attirance sexuelle ou le désir de vivre des expériences sexuelles avec d'autres personnes.	
homoit0000045	Personnes androgynes		Personne dont l'expression sociale de genre (apparence) est non binaire, ou qui se situe dans l'éventail entre féminité et masculinité.	
homoit0000047	Androgynie		Combinaison de caractéristiques dites masculines et féminines dans l'expression de genre.	
homoit0001757	Familles aromantiques		Familles biologiques, adoptives ou choisies, dans lesquelles une ou plusieurs personnes s'identifient comme aromantiques.	
homoit0001761	Parents aromantiques		Parents qui sont aromantiques.	
homoit0000067	Personnes aromantiques		Personnes qui n'éprouvent généralement pas d'attirance ou de désir romantique.	
homoit0001644	Aromantisme		Orientation romantique caractérisée par l'absence d'attirance ou de désir romantique.	
homoit0000071	Personnes asexuelles		Personnes qui n'éprouvent généralement pas d'attirance ou de désir sexuel; ne pas utiliser pour décrire les personnes qui pratiquent le célibat ou l'abstinence pour des raisons religieuses ou culturelles.	
homoit0000004	Asexualité		Orientation sexuelle généralement caractérisée par une absence d'attirance ou de désir sexuel.	
homoit0000077	Assigné femme à la naissance		Personnes assignées femme à la naissance	Genre féminin assigné à une personne à la naissance.
homoit0000078	Genre assigné	Genre assigné à la naissance	Genre, généralement « masculin » ou « féminin », assigné à la naissance ou à l'adolescence en fonction du sexe perçu.	
homoit0000079	Assigné homme à la naissance	Personne assignée homme à la naissance	Genre masculin assigné à une personne à la naissance.	
homoit0001648	Sexe assigné	Sexe assigné à la naissance||Sexe attribué à la naissance	Sexe assigné à une personne selon des normes médicales, en se basant généralement sur l'apparence des organes génitaux externes.	
homoit0001646	Assigné X à la naissance		Genre ou sexe X assigné à une personne à la naissance. Les personnes intersexes se voient rarement attribuer la mention intersexe ou X à la naissance.	
homoit0003825	Autigenre		Identité d'une personne autiste dont l'autisme affecte la perception du genre ou de leur genre. Utilisé seulement pour décrire les personnes qui se décrivent comme autigenre.	
homoit0000075	Asphyxie autoérotique		Pratique consistant à restreindre volontairement son apport en oxygène afin d'en tirer une stimulation sexuelle.	
homoit0000093	Baillon boule		Boules en silicone, en caoutchouc ou autres types de boules qui sont attachées dans la bouche d'une personne pour l'empêcher de parler, généralement pendant les rapports sexuels.	
homoit0000108	Personnes Bi+		Personnes qui ne sont pas exclusivement attirées sexuellement et romantiquement par des personnes d'un seul sexe biologique (y compris les bisexuels, les queers, les pansexuels et les identités fluides).	
homoit0000110	Identité bigenre		Terme utilisé pour décrire l'identité des personnes qui ont deux genres.	
homoit0000111	Personnes bigenres		Personnes qui s'identifient à deux genres, soit simultanément, soit de manière plus fluide.	
homoit0000114	Compression de la poitrine		Aplatir ou de dissimuler la poitrine avec une chemise moulante, une sangle ou un matériau similaire; souvent pratiqué par les hommes trans et les personnes transmasculines.	
homoit0001928	PANDC	BIPOC||Personnes autochtones	Sigle signifiant personnes autochtones, noires et de couleur.	
homoit0001824	Personnes biromantiques		Personnes qui éprouvent des sentiments romantiques envers plus d'un genre.	
homoit0001792	Biromantisme		Orientation romantique caractérisée par une attirance sentimentale envers plus d'un genre.	
homoit0000118	Modification du certificat de naissance		Changements officiels apportés à l'acte de naissance d'une personne, généralement pour refléter une modification de son nom légal ou de la mention de son genre ou de son sexe.	
homoit0000119	Certificats de naissance	Certificats de naissance	Documents officiels qui reproduisent les principales mentions contenues dans l'acte de naissance d'une personne, soit le nom, le prénom et le sexe de l'enfant, le lieu, la date et l'heure de sa naissance, les prénoms et noms de ses parents, le numéro d'inscription au registre de l'état civil et la date de délivrance du certificat.	
homoit0000121	Parents biologiques		Parents biologiques d'un·e ou de plusieurs enfants; peut aussi être utilisé dans un contexte d'adoption.	
homoit0000153	Identité bisexuelle		Identité sexuelle des personnes qui sont attirées romantiquement et sexuellement par des personnes du même genre qu'elles et d'un genre différent.	
homoit0000170	Personnes bisexuelles		Personnes qui sont attirées romantiquement et sexuellement envers plus d'un genre et qui s'identifient comme bisexuelles.	
homoit0000204	Bisexualité		Identité sexuelle définie comme une attirance envers plus d'un genre; privilégier le terme préféré par la personne concernée, soit bisexualité, pansexualité ou polysexualité, chaque fois que possible.	
homoit0000206	Morsures		Pression exercée avec les dents, à des fins d'excitation sexuelle.	
homoit0001782	Personnes blaqueers	BlaQ	Personnes noires queers qui reconnaissent que leur identité queer est liée à leur expérience d'être une personne noire et vice versa; à utiliser uniquement pour décrire les personnes qui s'identifient comme Blaqueers ou BlaQ.	
homoit0000086	Bondage	Ligotage	Acte d'attacher ou d'immobiliser le corps, habituellement avec de la corde, des menottes, du ruban adhésif ou un autre, à des fins de plaisir érotique ou d'appréciation esthétique.	
homoit0000264	Prénoms choisis	Nom choisi	Prénoms choisis qui diffèrent des prénoms de naissance ou des prénoms légaux des personnes; souvent utilisés pour décrire les prénoms choisis par les personnes LGBTQ+ pour mieux correspondre à leur identité.	
homoit0001925	Identité cisgenre		Identité de genre qui correspond au sexe ou au genre assigné à la naissance.	
homoit0000271	Personnes cisgenres		Personnes dont l'identité de genre correspond au genre ou au sexe qui leur a été assigné à la naissance.	
homoit0000314	Criminalisation		Processus juridique et législatif par lequel une autorité compétente qualifie un comportement ou un acte d'infraction criminelle, le rendant ainsi illégal et passible de sanctions pénales. Ce terme s'utilise également en criminologie pour désigner le processus social qui qualifie certaines personnes ou actions de criminelles.	
homoit0000336	Morinommer		Désigner une personne avec le prénom qui lui a été assigné à la naissance plutôt qu'avec le prénom qu'elle a choisi.	
homoit0000339	Décriminalisation		Processus d'atténuation ou de suppression des sanctions pénales pour certains actes.	
homoit0001653	Demi-garçons		Personnes qui s'identifient partiellement comme des hommes ou des garçons, quel que soit le genre qui leur a été attribué. Utilisé par les personnes cisgenres, transgenres, transmasculines ou non-binaires qui se sentent plus proches des hommes physiquement ou socialement, mais pas suffisamment pour s'identifier uniquement comme tels.	
homoit0001653	Demi-filles		Personnes qui s'identifient partiellement comme des femmes ou des filles, quel que soit le genre qui leur a été attribué. Utilisé par les personnes cisgenres, transgenres, transféminines ou non binaires qui se sentent plus proches des femmes physiquement ou socialement, mais pas suffisamment pour s'identifier uniquement comme telles.	
homoit0001985	Personnes demiromantiques		Personnes qui éprouvent une attirance romantique qu'une fois qu'un lien émotionnel est établi.	
homoit0001986	Demiromantisme		Orientation romantique dans laquelle l'attirance romantique n'est ressentie qu'après avoir établi des liens affectifs.	
homoit0000344	Personnes demisexuelles		Personnes qui n'éprouvent pas d'attirance sexuelle à moins d'avoir d'abord établi un lien émotionnel fort avec une personne.	
homoit0000343	Demisexualité		Orientation sexuelle caractérisée par l'absence d'attirance sexuelle pour d'autres personnes, à moins ou jusqu'à ce que des liens émotionnels aient été établis.	
homoit0000395	Éonisme	Travestisme||Travestisme masculin||Travestime sans érotisation	Terme historique désignant l'adoption, par les personnes assignées au genre masculin à la naissance, de comportements féminins.	
homoit0000396	Personnes éonistes	Travestie||Hommes travestis	Terme historique désignant les personnes assignées au genre masculin à la naissance qui adoptent des comportements féminins.	
homoit0000496	Identité gaie	Identité gay||Identité homosexuelle	Identité sexuelle des hommes et des personnes masculines qui sont attirés sexuellement ou romantiquement par d'autres hommes et personnes masculines. Ne pas l'utiliser comme terme plus large pour désigner les personnes LGBTQ+.	
homoit0001899	Ambiguïté de genre	Ambiguïté du genre||Transgression de genre	Expression de genre qui ne correspond pas à une identité de genre unique et distincte.	
homoit0000120	Genre assigné à la naissance	Genre attribué à la naissance	Marqueur de genre légal figurant sur les certificats et registres liés à la naissance. Souvent, mais pas toujours, synonyme de « sexe assigné à la naissance ». Également utilisé en référence aux rôles et attentes associés à ce marqueur de genre.	
homoit0001756	Genre créatif	Créativité de genre||Au genre créatif||Au genre non conforme||Jeunes identités créatives||Créatif de genre||Créative de genre	Personnes, généralement des enfants, qui ne se conforment pas aux normes binaires de genre et qui, au contraire, entrecroisent de manière créative leurs expériences internes et externes pour comprendre leur identité et leur expression de genre. Peut également être utilisé pour décrire une façon d'élever les enfants en dehors des normes traditionnelles de genre.	
homoit0000577	Rôles de genre	Rôles genrés	Ensemble des comportements, des attitudes, des occupations et des intérêts légitimes ou attendus, que les normes culturelles prévalant dans une société déterminent comme étant appropriés à un genre. Certaines personnes LGBTQ+ s'identifient à des rôles de genre qui existent en dehors du système binaire du genre.	
homoit0001817	Minorités de genre	Diversité de genre	Personnes dont l'identité et les pratiques de genre diffèrent de celles de la culture dominante.	
homoit0000571	Identité de genre		Expérience intime et profonde d'une personne par rapport à son genre, qui peut ou non correspondre au genre ou au sexe qui lui a été assigné à la naissance.	
homoit0000568	Expression de genre		Manière dont une personne exprime son genre. Cela peut inclure ses comportements et son apparence, comme ses choix vestimentaires, sa coiffure, le port de maquillage, son langage corporel et sa voix. L'expression de genre est indépendante du sexe assigné à la naissance et n'est pas nécessairement liée à l'identité de genre telle que vécue personnellement et intimement.	
homoit0000566	Diversité de genre	Pluralité des genres||Pluralité de genre||Minorités de genre	Ensemble des identités de genre qui sont minoritaires et ne correspondent pas aux normes de genre dominantes.	
homoit0000569	Identité de genre fluide		Identité de genre selon laquelle le genre d'une personne change dans le temps et selon les circonstances; certaines personnes fluides dans le genre peuvent s'identifier comme un mélange de plus d'un genre simultanément.	
