identifier	prefLabel	altLabel	description	historyNote
homoit0001789	2SLHBTQ+		Afkorting die wordt gebruikt om two-spirit people, lesbische vrouwen, homomannen, biseksuele personen, transgender personen, queer personen en andere gender- en seksuele minderheden als een groep te beschrijven; vaak gebruikt in Canada om de inheemse bevolking op de eerste plaats te zetten	
homoit0000807	LHBTQ+		Acroniem gebruikt om lesbische vrouwen, homomannen, biseksuele personen, transgender personen en queer personen als groep te beschrijven	
homoit0000804	LHB		Alleen gebruikt om lesbische vrouwen, homomannen en biseksuelen als een groep te beschrijven; is gebruikt om transgender personen uit te sluiten	
homoit0000806	LHBTQ			
homoit0000804	LHB		Alleen gebruikt om lesbische vrouwen, homomannen en biseksuelen als een groep te beschrijven; is gebruikt om transgender personen uit te sluiten	
homoit0000594	LHBT		Alleen gebruikt om lesbische vrouwen, homomannen, biseksuelen en transgender personen als een groep te beschrijven	
homoit0000703	LBT		Alleen gebruikt om lesbische vrouwen, biseksuelen en transgender personen als een groep te beschrijven	
homoit0000804	LHB		Alleen gebruikt om lesbische vrouwen, homomannen en biseksuelen als een groep te beschrijven; is gebruikt om transgender personen uit te sluiten	
homoit0004390	LHBTQ+-historici		LHBTQ+-personen die historische gebeurtenissen bestuderen en interpreteren.	
homoit0003263	LHBTQ+-academici	LHBTQ+-onderzoekers||LHBTQ+-professoren||LHBTQ+-universiteitsdocenten	LHBTQ+-onderzoekers en/of docenten die werkzaam zijn in het hoger onderwijs.	
homoit0003264	Aromantische academici	Aromantische professoren||Aromantische universiteitsdocenten	Aromantische onderzoekers en/of docenten die werkzaam zijn in het hoger onderwijs.	
homoit0003265	Aseksuele academici	Aseksuele onderzoekers||Aseksuele professoren||Aseksuele universiteitsdocenten	Aseksuele onderzoekers en/of docenten die werkzaam zijn in het hoger onderwijs.	
homoit0003266	Biseksuele academici	Biseksuele onderzoekers||Biseksuele professoren||Biseksuele universiteitsdocenten	Biseksuele onderzoekers en/of docenten die werkzaam zijn in het hoger onderwijs.	
homoit0003267	Demiseksuele academici	Demiseksuele onderzoekers||Demiseksuele professoren||Demiseksuele universiteitsdocenten	Demiseksuele onderzoekers en/of docenten die werkzaam zijn in het hoger onderwijs.	
homoit0003269	Grijsromantische academici	Grijsromantische professoren||Grijsromantische universiteitsdocenten	Grijsromantische onderzoekers en/of docenten die werkzaam zijn in het hoger onderwijs.	
homoit0003268	Homo-academici	Homo-universiteitsdocenten||Homoprofessoren	Homomannen die werkzaam zijn als onderzoekers en/of docenten in het hoger onderwijs.	
homoit0003270	Intersekse academici	Intersekse professoren||Intersekse universiteitsdocenten	Intersekse onderzoekers en/of docenten die werkzaam zijn in het hoger onderwijs.	
homoit0003271	Lesbische academici	Lesbische professoren||Lesbische universiteitsdocenten	Lesbische onderzoekers en/of docenten die werkzaam zijn in het hoger onderwijs.	
homoit0003272	Megaseksuele academici	Megaseksuele professoren||Megaseksuele universiteitsdocenten	Megaseksuele onderzoekers en/of docenten die werkzaam zijn in het hoger onderwijs.	
homoit0003273	Non-binaire academici	Non-binaire professoren||Non-binaire universiteitsdocenten||Nonbinaire academici	Non-binaire onderzoekers en/of docenten die werkzaam zijn in het hoger onderwijs.	
homoit0003274	Queer academici	Queer professoren||Queer universiteitsdocenten	Queer onderzoekers en/of docenten die werkzaam zijn in het hoger onderwijs.	
homoit0003275	Transgender academici	Transgender onderzoekers||Transgender professoren||Transgender universiteitsdocenten	Transgender onderzoekers en/of docenten die werkzaam zijn in het hoger onderwijs.	
homoit0001279	Seksuologen		Personen die beroepsmatig seksuologie bestuderen, of menselijk seksueel gedrag en seksuele relaties.	
homoit0002009	Arabische LHBTQ+-personen	Arabische personen (LHBTQ+)||LHBTQ+-Arabieren||LHBTQ+-Arabische personen	LHBTQ+-personen die uit Arabische landen komen, Arabisch spreken en/of afstammen van Arabische volkeren. Niet verwarren met moslimidentiteit	
homoit0003382	Arabisch-Amerikaanse LHBTQ+-personen	LHBTQ+ Arabisch-Amerikanen	LHBTQ+-personen die afstammen van Arabische volkeren en geboren zijn in de Verenigde Staten, of LHBTQ+-personen die geboren zijn in Arabische landen en die in de Verenigde Staten wonen of er een sterke band mee hebben. Niet te verwarren met moslims.	
