identifier	prefLabel	altLabel	description	historyNote
homoit0000001	5-α-reduktasbrist	5-alfa-reduktasbrist	Människor med 5-alfa-reduktasbrist, har XY-kromosomer, testiklar och typiska testosteronnivåer, men deras kroppar saknar enzymet som ansvarar för att omvandla testosteron till den kraftigare androgenen dihydrotestosteron (DHT). Detta påverkar hur individens yttre könskarakteristika utvecklas, och personer födda med 5-alfa-reduktasbrist har ofta könsdifferentieringar som märks vid födseln. Under tonåren utvecklar personer med 5-alfa-reduktasbrist typiskt sett vissa kännetecken förknippade med testosteronpubertet och kan uppleva tillväxt av könsorganen vid denna tidpunkt.	
homoit0000002	Aboriginer (hbtq+)		Hbtq+-personer som tillhör ett eller flera av de olika ursprungsfolken i Australien. Använd inte begreppet för att hänvisa till ursprungsbefolkningen på Torressundöarna, eftersom de utgör en egen etnisk och kulturell grupp. Det bör endast användas för att beskriva personer som identifierar sig som aboriginer.	
homoit0000003	Acault		En ofta felöversatt burmesisk term för personer som tilldelats manligt kön vid födseln och som uppvisar feminina beteenden medan de tjänar som andliga medier. Det finns viss tveksamhet om termen är legitim.	
homoit0000004	Asexualitet		En sexuell läggning som i allmänhet kännetecknas av avsaknad av sexuell attraktion eller åtrå.	
homoit0000005	Hiv/aids		Förkortning för hiv (humant immunbristvirus) och aids (förvärvat immunbristsyndrom).	
homoit0000006	Hbtq+-aktivism		Direkt aktion och organisering för att uppnå politisk eller social förändring och acceptans för hbtq+-personer.	
homoit0000007	Hbtq+-aktivister		Hbtq+-personer som organiserar sig eller driver kampanjer för sociala, kulturella, politiska eller ekonomiska mål och förändringar.	
homoit0000008	Hbtq+-skådespelare		Hbtq+-personer som agerar i scenproduktioner, filmer, tv-program, radiosändningar eller andra produktioner.	
homoit0000009	Adoptivföräldraskap		Erfarenheten av att vara adoptivförälder till ett eller flera barn. En adoptivförälder är en person eller personer som genom adoption blir barnets permanenta föräldrar med allt ansvar som det innebär.	
homoit0000010	Adoptivföräldrar		Personer som har adopterat barn, antingen genom en juridisk process eller genom sociala eller kulturella praktiker.	
homoit0000011	Sexindustri	Sexindustrin||Sexbranschen	De företag som direkt eller indirekt tillhandahåller sexuella handlingar, sexrelaterade produkter eller erotisk underhållning.	
homoit0000012	Sexbutiker	Sexshoppar||Porrbutiker	Butiker som säljer produkter kopplade till sex och sexuell underhållning, inklusive sexleksaker, underkläder, pornografi och andra relaterade produkter.	
homoit0000013	Hbtq+-porrfilm	Pornografisk film (hbtq+)	Erotiska eller sexuellt explicita filmer där hbtq+-personer medverkar.	
homoit0000014	Porrbiografer	Sexbiografer	Biografer som huvudsakligen visar pornografiska filmer. Det kan uttryckligen tillåtas eller informellt tolereras att besökare är nakna, onanerar eller har sex offentligt.	
homoit0000015	Afroamerikanska HBTQ+-personer		Afroamerikanska personer som också är hbtq+-personer. Följ individens preferens för afroamerikan eller svart när det är möjligt.	
homoit0000016	Afrokanadensiska hbtq+-personer		Hbtq+-personer av afrikansk härkomst födda i Kanada eller hbtq+-personer födda i afrikanska länder som bor i eller har en stark anknytning till Kanada. Används för individer som identifierar sig som afrokanadensare.	
homoit0000017	Afrokaribiska hbtq+-personer		Hbtq+-personer av afrikansk härkomst födda i Karibien eller hbtq+-personer födda i afrikanska länder som bor i eller har en stark anknytning till Karibien. Använd endast för personer som identifierar sig som afrokaribier.	
homoit0000018	Afroeuropeiska hbtq+-personer		Hbtq+-personer av afrikansk härkomst födda i europeiska länder eller hbtq+-personer födda i afrikanska länder som bor i eller har en stark anknytning till Europa. Använd endast för personer som identifierar sig som afroeuropéer.	
